text,label
hospital immediately,critical
fire in the building,critical
call 911 now,critical
terrible accident come fast,critical
i am bleeding help,critical
chest pain call an ambulance,critical
someone broke in police,critical
sos we are in danger,critical
she is unconscious,critical
rushing to the emergency room,critical
severe allergic reaction,critical
i need a doctor urgently,critical
please help me i am trapped,critical
car crash on the highway,critical
house is on fire get out,critical
he is not breathing,critical
urgent family emergency,critical
call the cops they have a gun,critical
i think i am having a panic attack,critical
panic attack please help,critical
come quick im scared,critical
someones outside my window,critical
i hear gunshots,critical
dial 911,critical
i cant breathe,critical
choking help,critical
send an ambulance right now,critical
my chest hurts so bad,critical
bleeding out need help,critical
i think my arm is broken,critical
car just flipped over,critical
massive pileup on the freeway,critical
we need paramedics,critical
please hurry it hurts,critical
robber broke into my house,critical
hide they have a knife,critical
call the police immediately,critical
room is filling with smoke,critical
gas leak get out,critical
i smell gas leave the house,critical
he collapsed,critical
she just passed out,critical
need cpr fast,critical
head injury bleeding,critical
somebody is following me,critical
im being followed call cops,critical
creepy guy following me help,critical
they are trying to break down the door,critical
intruder in the house,critical
bring the medkit,critical
we need a tourniquet,critical
bitten by a snake,critical
swallowing my tongue,critical
anaphylactic shock,critical
epipen now,critical
seizure call for help,critical
having a stroke,critical
face is drooping call 911,critical
heart attack symptoms,critical
pulse is dropping,critical
lost a lot of blood,critical
fatal crash send medics,critical
stabbing downtown,critical
help me please,critical
need help right now,critical
where is the ambulance,critical
how far are the cops,critical
i am trapped under the car,critical
stuck in the elevator and cant breathe,critical
building is collapsing,critical
earthquake take cover,critical
tornado warning take shelter,critical
active shooter run,critical
shots fired stay down,critical
he has a weapon,critical
grab the kids and run,critical
house is burning,critical
kitchen fire spreading,critical
water rising too fast,critical
flash flood get to roof,critical
i drank poison by mistake,critical
swallowed bleach help,critical
overdose call 911,critical
unresponsive,critical
no pulse starting chest compressions,critical
bring the defibrillator,critical
aed needed immediately,critical
severe burns on my leg,critical
scalded with boiling water,critical
dog attack send help,critical
wild animal attack,critical
brakes failed crashed into tree,critical
hit and run need police,critical
drunk driver just hit us,critical
my water just broke hospital now,critical
baby is not breathing,critical
toddler choking on toy,critical
im locked in the trunk,critical
kidnapping in progress,critical
they took her call 911,critical
hostage situation,critical
domestic violence call cops,critical
he is hitting her,critical
i fear for my life,critical
please send someone,critical
dont text back just call 911,critical
send location to police,critical
i am in the trunk of a car,critical
trapped in the basement,critical
carbon monoxide alarm going off,critical
i feel dizzy and cant stand,critical
vomiting blood,critical
coughing up blood,critical
vision going black,critical
i think im dying,critical
hurry please,critical
get here now emergency,critical
fatal accident,critical
major trauma,critical
spinal injury dont move him,critical
neck is broken,critical
fractured skull,critical
severe concussion,critical
he is bleeding from the ears,critical
project meeting tomorrow,important
submit your assignment,important
interview scheduled for monday,important
confirm the payment receipt,important
boss wants to see you in the office,important
client presentation is ready,important
dont forget the deadline,important
please review the attached report,important
your sons exam report is here,important
school parent teacher meeting,important
flight is scheduled for tonight,important
quarterly tax submission,important
did you send the invoice,important
project update required,important
the server is down please check,important
contract signing at 3pm,important
bank account statement attached,important
please confirm your appointment,important
your flight is boarding in 30 minutes,important
gate change for your flight,important
tuition fee is due today,important
credit card bill overdue,important
mortgage payment received,important
salary has been credited,important
new tax forms to sign,important
doctor appointment at 4pm,important
dentist reminder tomorrow,important
kid needs to be picked up from school,important
daycare closes in 15 minutes,important
urgent task from the ceo,important
the website is crashing,important
database connection failed,important
production server is offline,important
fix the bug before launch,important
client is waiting for the call,important
zoom link for the interview,important
your shift starts in an hour,important
can you cover my shift today,important
performance review meeting,important
hr wants to speak with you,important
legal documents attached,important
sign the nda,important
lease agreement renewal,important
rent is due on the first,important
car insurance expiring soon,important
health insurance open enrollment,important
passport is ready for pickup,important
visa application approved,important
court date tomorrow morning,important
jury duty summons,important
property tax bill,important
utility bill final notice,important
power will be shut off tomorrow,important
internet outage in your area,important
package delivery requires signature,important
fedex tracking update,important
amazon order delayed,important
refund has been processed,important
wire transfer completed,important
fraud alert on your debit card,important
unauthorized login attempt,important
password reset requested,important
your account has been locked,important
two factor authentication code,important
security alert new device logged in,important
please verify your email,important
system update tonight at midnight,important
network maintenance scheduled,important
vpn access revoked,important
laptop needs to be returned to it,important
employee onboarding at 9am,important
town hall meeting at noon,important
quarterly earnings call,important
stock options vesting today,important
portfolio down 10 percent,important
margin call on your account,important
wire instructions attached,important
escrow closed successfully,important
keys are ready for the new house,important
moving truck arrives at 8am,important
flight canceled rebook immediately,important
hotel reservation confirmed,important
rental car ready for pickup,important
agenda for tomorrows workshop,important
training session mandatory,important
compliance course overdue,important
safety inspection tomorrow,important
audit team arriving next week,important
financial statements due,important
expense report rejected,important
receipts needed for reimbursement,important
budget approved for next year,important
marketing campaign launch,important
press release needs approval,important
investor pitch deck,important
board meeting minutes,important
send me the excel sheet,important
can you share the google doc,important
access requested to drive folder,important
feedback on your latest draft,important
final revisions needed,important
publishing goes live in 10 mins,important
did you email the client back,important
follow up with the vendor,important
supply chain delay,important
inventory is running low,important
shipment arrives tomorrow,important
customs clearance required,important
hey what is up,low
lol that was funny,low
good night,low
see you tomorrow,low
haha i cant believe it,low
ok sounds good to me,low
cool see you then,low
thanks a lot,low
what are we having for dinner,low
are you free this weekend,low
just watching a movie,low
good morning have a great day,low
lmao that is hilarious,low
can you grab some milk,low
i am on my way,low
happy birthday bro,low
lets play some games later,low
did you see that meme,low
bro the new song is fire,low
listen to this song,low
bro what are you doing,low
hehcdhehehej,low
asdfghjkl,low
bruh sed,low
bruh fr,low
ong that is crazy,low
no cap,low
skibidi,low
wya,low
omw,low
rn,low
idk man,low
idc do whatever,low
bet,low
say less,low
im down,low
yeah maybe later,low
im so tired,low
just woke up,low
going to sleep now,low
sweet dreams,low
how was your day,low
pizza tonight,low
want to grab lunch,low
tacos for dinner,low
i am starving,low
can we get mcdonalds,low
what is the wifi password,low
did you finish the homework,low
im studying right now,low
this class is so boring,low
teacher is annoying me,low
i failed the test,low
got an a on the exam,low
do you have a pencil,low
wanna hang out,low
come over,low
im outside,low
open the door,low
driving right now,low
stuck in traffic,low
ill be 5 mins late,low
take your time,low
no rush,low
are we still on for tonight,low
who is all going,low
is she coming,low
he said no,low
why are you mad,low
im not mad,low
sorry my bad,low
it is all good,low
no worries,low
dont forget to bring it,low
did you watch the game,low
that dunk was insane,low
lebron is the goat,low
playing valo hop on,low
carry me in ranked,low
i am lagging so hard,low
my ping is 200,low
restarting my pc,low
discord is glitching,low
join the vc,low
send the link,low
did you see her story,low
he left me on read,low
double text him,low
that fit is clean,low
new shoes just arrived,low
going to the gym,low
hitting chest today,low
legs are so sore,low
im skipping workout today,low
what movie should we watch,low
that show is mid,low
season 2 was terrible,low
no spoilers please,low
i love that actor,low
buying tickets now,low
how much were they,low
i will venmo you,low
just sent the money,low
got it thanks,low
you owe me 5 bucks,low
remind me tomorrow,low
i forgot entirely,low
my brain is fried,low
i need a nap,low
so bored right now,low
entertain me,low
send a selfie,low
looking good,low
slay,low
purr,low
absolute vibes,low
50% discount on shoes,spam
click here to win,spam
free coupon code,spam
you won the lottery claim now,spam
limited time offer buy today,spam
subscribe to our newsletter,spam
get cashback on your next order,spam
flash sale starts now,spam
congratulations you are a winner,spam
earn money from home easily,spam
your prize is waiting click link,spam
exclusive promo for you,spam
cheap flights book now,spam
guaranteed followers for your page,spam
claim your free trial,spam
invest now and double your cash,spam
clearance sale everything must go,spam
weight loss miracle pill,spam
hot singles in your area,spam
meet local women tonight,spam
enlarge your size fast,spam
buy viagra online no prescription,spam
crypto investment guaranteed returns,spam
bitcoin giveaway click here,spam
elon musk is giving away crypto,spam
your car warranty is expiring,spam
extend your warranty now,spam
you have been selected for a free iphone,spam
claim your free ps5,spam
spin the wheel to win a gift card,spam
amazon gift card survey,spam
complete this survey for 100 dollars,spam
work from home make 500 a day,spam
be your own boss sign up now,spam
mlm opportunity of a lifetime,spam
pyramid scheme no it is real,spam
forex trading signals join telegram,spam
make millions with this one trick,spam
doctors hate this weight loss trick,spam
burn belly fat in 3 days,spam
keto gummies free bottle,spam
hair loss cure discovered,spam
fix your credit score instantly,spam
remove bad debt legally,spam
student loan forgiveness apply now,spam
you qualify for a government grant,spam
claim your stimulus check here,spam
unclaimed money in your name,spam
irs final notice pay immediately,spam
arrest warrant issued call this number,spam
your social security number is suspended,spam
apple id locked verify identity,spam
netflix account suspended update payment,spam
paypal security alert click link,spam
bank of america unusual activity login here,spam
wells fargo update your password,spam
chase bank fraud alert verify now,spam
cash app payment pending accept here,spam
zelle transfer failed click to fix,spam
venmo security check required,spam
fedex package undeliverable pay fee,spam
usps tracking update click link,spam
dhl shipment stuck in customs,spam
you have a new voicemail listen here,spam
missed call from unknown click to hear,spam
someone sent you a private photo,spam
view hidden messages on whatsapp,spam
hack any instagram account,spam
see who viewed your profile,spam
buy cheap instagram followers,spam
get 10k tiktok views for 1 dollar,spam
youtube subscribers for sale,spam
seo services for your website,spam
rank number 1 on google,spam
web design cheap rates,spam
app development offshore team,spam
b2b lead generation software,spam
buy our email list of ceos,spam
cheap printer ink cartridges,spam
discounted software licenses,spam
windows 10 pro key 5 dollars,spam
office 365 lifetime account,spam
antivirus subscription expired renew now,spam
your computer is infected call microsoft,spam
tech support scam call us,spam
mcafee renewal notice,spam
norton security warning,spam
life insurance for seniors no exam,spam
auto insurance rates dropping,spam
refinance your mortgage today,spam
lowest interest rates in history,spam
personal loans up to 50k,spam
bad credit no problem approve now,spam
payday loan instant cash,spam
casino bonus 100 free spins,spam
sports betting picks guaranteed win,spam
online poker sign up bonus,spam
play bingo for real money,spam
timeshare presentation free vacation,spam
cruise tickets for two claim now,spam
all inclusive resort discount,spam
buy generic drugs online,spam
cheap pharmacy no prescription needed,spam
cbd oil cures everything,spam
magic mushrooms buy online,spam
vape juice clearance,spam


they are shooting,critical
hide in the bathroom,critical
lock the doors they are outside,critical
someone is trying to open my door,critical
stalker broke in,critical
my ex is here with a weapon,critical
mugged at knifepoint,critical
carjacked send police,critical
they stole my car with the baby inside,critical
kidnapped my child,critical
active robbery in progress,critical
bank robbery send cops,critical
shooting at the mall,critical
drive by shooting get down,critical
barricaded in the room,critical
someone is picking the lock,critical
window just shattered,critical
they are in the hallway,critical
dont make a sound they are near,critical
i am hiding in the closet,critical
send swat,critical
armed and dangerous,critical
gun pointed at me,critical
he pulled a knife on me,critical
i am being held against my will,critical
they wont let me leave,critical
forced into a van,critical
abduction in progress,critical
stranger trying to lure my kid,critical
found a tracker on my car,critical
someone cut my brakes,critical
brake lines are cut,critical
i am being chased down the street,critical
run for your life,critical
they are breaking through the window,critical
he is kicking the door down,critical
domestic disturbance send units,critical
i need a restraining order enforced now,critical
he has a gun to her head,critical
active fight with weapons,critical
gang violence outside,critical
riot breaking out,critical
mob is attacking,critical
they are looting the house,critical
officer down,critical
need backup immediately,critical
he is threatening to kill me,critical
death threat received and they are here,critical
i think he is going to hurt me,critical
please track my phone i am in danger,critical
sliced my hand open,critical
chopped off my finger,critical
chainsaw accident,critical
fell from the roof,critical
fell off the ladder,critical
fell down the stairs and cant move,critical
broken back,critical
paralyzed cant feel my legs,critical
spine injury do not move him,critical
hit my head really hard,critical
skull is fractured,critical
eye injury bleeding profusely,critical
swallowed a battery,critical
coughing uncontrollably,critical
turning purple,critical
he is suffocating,critical
drowned pull him out,critical
needs rescue breathing,critical
asthma acting up cant breathe,critical
need my inhaler right now,critical
heart palpitations very fast,critical
left arm is entirely numb,critical
chest feels crushed,critical
sudden severe headache worst ever,critical
suspected aneurysm,critical
blood in vomit,critical
vomiting bile and passing out,critical
extreme dehydration fainting,critical
heat stroke collapsing,critical
hypothermia freezing to death,critical
severe frostbite,critical
stung by a swarm of bees,critical
allergic to wasp sting throat closing,critical
throat is swelling shut,critical
need epipen fast,critical
snake venom spreading,critical
rabid dog bite,critical
bleeding profusely from the leg,critical
artery cut,critical
tourniquet is slipping,critical
deep laceration on arm,critical
stabbed in the gut,critical
shot in the leg,critical
gunshot wound to the chest,critical
impaled on a fence,critical
metal rod stuck in leg,critical
nail gun accident,critical
crushed hand in machine,critical
foot ran over by tractor,critical
industrial accident send medevac,critical
forklift flipped on him,critical
electrocuted and unresponsive,critical
struck by lightning,critical
chemical burn on face,critical
acid thrown in eyes,critical
swallowed glass,critical
choking on a bone,critical
baby swallowed a coin,critical
toddler drank antifreeze,critical
child unresponsive in pool,critical
pulled kid from water not breathing,critical
flesh eating bacteria rapid spread,critical
sepsis shock dropping bp,critical
blood pressure dangerously low,critical
fading fast hurry,critical
losing consciousness,critical
cant stay awake,critical
eyes rolling back,critical
foaming at the mouth,critical
convulsing violently,critical
seizure lasted over 5 minutes,critical
diabetic coma,critical
blood sugar crashed need insulin,critical
glucose critically low,critical
hypoglycemic shock,critical
appendicitis burst extreme pain,critical
gallbladder ruptured,critical
internal bleeding suspected,critical
coughing up pink foam,critical
lips are blue,critical
fingers turning blue,critical
no heartbeat starting compressions,critical
brain bleed symptoms,critical
slurred speech face drooping,critical
cant lift both arms stroke,critical
sudden blindness,critical
deafening ringing then collapsed,critical
vomiting blood chunks,critical
fetal distress get to maternity,critical
hemorrhaging after birth,critical
umbilical cord wrapped around neck,critical
water birth emergency,critical
premature labor starting now,critical
electrical fire in the walls,critical
sparking wires caught the drapes,critical
transformer blew up outside,critical
forest fire approaching fast,critical
evacuate the neighborhood immediately,critical
structural collapse trapped inside,critical
sinkhole opened up under the car,critical
toxic gas leak in the lab,critical
ammonia leak,critical
mixed bleach and ammonia cant breathe,critical
carbon monoxide poisoning symptoms,critical
radiation leak alarm,critical
bomb squad needed,critical
suspicious bag left unattended,critical
bomb threat called in,critical
IED spotted on the road,critical
grenade found in the yard,critical
fireworks exploded indoors,critical
propane tank leaking next to fire,critical
gas station fire,critical
vehicle on fire pull them out,critical
trapped in burning room,critical
clothes caught on fire,critical
stop drop and roll hes burning,critical
third degree burns over body,critical
roof is collapsing,critical
floor caved in,critical
trapped under rubble,critical
earthquake trapped in basement,critical
tsunami siren going off,critical
hurricane blew the roof off,critical
tornado tore the house apart,critical
avalanche buried the cabin,critical
mudslide took out the road,critical
flash flood sweeping cars away,critical
stuck on the roof water rising,critical
drowning in the river,critical
swept away by the current,critical
boat is sinking,critical
ship taking on water,critical
man overboard,critical
plane engine on fire,critical
we are going down brace for impact,critical
helicopter crash landed,critical
train derailed massive explosion,critical
subway car filling with smoke,critical
trapped in the subway tunnel,critical
elevator free falling,critical
cable snapped trapped in elevator,critical
bridge collapsed,critical
road washed out plunged into ravine,critical
car in the water sinking fast,critical
break the window car sinking,critical
trapped under the dashboard,critical
jaws of life needed immediately,critical
flipped my truck multiple times,critical
rolled the jeep down a hill,critical
semi truck hit us head on,critical
motorcycle hit a tree,critical
thrown from the bike,critical
no helmet head trauma,critical
pedestrian struck by speeding car,critical
hit by a bus,critical
ran a red light tboned us,critical
airbag deployed chest in agony,critical
bicyclist hit by dump truck,critical
skydiver parachute failed,critical
bungee cord snapped,critical
fell off the cliff,critical
hanging from the ledge,critical
slipped on the ice cracked skull,critical
skiing accident hit a tree,critical
snowmobile flipped on me,critical
trapped in an ice cave,critical
fell through the ice freezing,critical
plunged into freezing lake,critical
heat exhaustion pass out,critical
trapped in a hot car,critical
baby locked in hot car break window,critical
dog dying in hot car,critical
animal attack bear in camp,critical
mountain lion stalking us,critical
shark attack need tourniquet,critical
alligator bit his leg,critical
venomous spider bite swelling,critical
scorpion sting cant breathe,critical
jellyfish sting anaphylaxis,critical
poison ivy in throat,critical
ate poisonous mushrooms,critical
food poisoning extreme dehydration,critical
botulism suspected,critical
typhoid symptoms,critical
cholera outbreak,critical
ebola suspected isolate now,critical
hazmat team needed,critical
biohazard spill in lab,critical
chemical plant explosion,critical
refinery fire spreading,critical
oil spill caught fire,critical
pipeline burst,critical
gas main break,critical
plsss help,critical
hlp me rn,critical
call 911 plz,critical
emergncy come quick,critical
bleeding out fast,critical
ded,critical
dying rn,critical
plz help,critical
sos sos sos,critical
help help help,critical
send medics rn,critical
need police asap,critical
swat now,critical
cops now,critical
ambulance plz,critical
hurry pls,critical
so much blood,critical
cant stop the bleeding,critical
im so scared come now,critical
life or death situation,critical
drop everything and come,critical
this is an emergency,critical
bring the police with you,critical
tell my family i love them,critical
i dont think ill make it,critical
please god help me,critical
somebody please help,critical
is anyone there help,critical
i need you here immediately,critical
it is an absolute emergency,critical
i am in critical condition,critical
send an airlift,critical
medevac requested,critical
rescue helicopter needed,critical
coast guard sos,critical
mayday mayday mayday,critical
we are taking heavy fire,critical
under attack,critical
defend the perimeter,critical
breach in sector 4,critical
secure the lockdown,critical
school is in lockdown real threat,critical
code red emergency,critical
code blue in room 204,critical
crash cart needed,critical
bring the intubation kit,critical
tracheotomy required,critical
throat slit,critical
stab wound to the neck,critical
punctured lung,critical
rib pierced my lung,critical
spleen ruptured,critical
liver laceration,critical
femur snapped in half,critical
compound fracture bone sticking out,critical
amputated limb bring ice,critical
severed hand,critical
mangled in the machinery,critical
crush syndrome,critical
compartment syndrome,critical
necrosis spreading rapidly,critical
gangrene infection shock,critical
tetanus lockjaw starting,critical
rabies symptoms showing,critical
malaria fever spiking dangerously,critical
dengue hemorrhagic fever,critical
severe covid cant breathe,critical
ventilator needed,critical
oxygen tank empty,critical
life support failing,critical
generator died patients on ventilators,critical
power outage in the icu,critical
hospital on fire evacuate patients,critical
active shooter in the er,critical
bomb in the lobby,critical
terrorist attack,critical
hijacking in progress,critical
pirates boarding the ship,critical
mutiny on board,critical
taken prisoner,critical
pow escaped being hunted,critical
trapped behind enemy lines,critical
friendly fire incident,critical
artillery strike incoming,critical
drone strike brace,critical
missile alert take cover,critical
nuclear siren sounding,critical
fallout shelter now,critical
EMP knocked out all systems,critical
total grid failure riots starting,critical
stampede at the concert,critical
crushed by the crowd,critical
trampled in the panic,critical
panic in the stadium,critical
bleachers collapsed,critical
stage fell on the performers,critical
pyrotechnics exploded in crowd,critical
acid rain severe burns,critical
volcano erupting ash cloud,critical
lava flow blocking escape,critical
meteor strike,critical
alien invasion,critical
zombie outbreak,critical
rabid humans attacking,critical
mass poisoning at the event,critical
cyanide in the water supply,critical
anthrax powder in the mail,critical
ricin exposure,critical
nerve gas deployed,critical
mustard gas burns,critical
sarin gas attack,critical
VX nerve agent,critical
dirty bomb detonated,critical
radioactive material stolen,critical
reactor meltdown,critical
chernobyl level event,critical
fukushima disaster happening,critical
dam broke town flooding,critical
levee breached,critical
reservoir collapsing,critical
bridge swinging wildly in wind,critical
skyscraper swaying about to fall,critical
crane collapsed onto the street,critical
scaffolding fell on pedestrians,critical
window washer fell 20 stories,critical
elevator dropped 10 floors,critical
escalator chewed up his leg,critical
subway doors trapped her arm,critical
dragged by the train,critical
pushed onto the subway tracks,critical
third rail electrocution,critical
trapped in a bank vault,critical
running out of oxygen in the vault,critical
buried alive,critical
coffin buried landslide,critical
mine shaft collapsed,critical
miners trapped underground,critical
cave diving lost the guideline,critical
scuba gear failed out of air,critical
the bends decompression sickness,critical
nitrogen narcosis,critical
oxygen toxicity seizure,critical
carbon dioxide poisoning,critical
space suit punctured,critical
airlock failure,critical
depressurization in the cabin,critical
sucked out the window,critical
parachute tangled in the plane,critical
glider crashed into the mountain,critical
hang glider plummeted,critical
hot air balloon caught fire,critical
blimp exploded,critical
ferris wheel stuck upside down,critical
rollercoaster derailed,critical
theme park ride snapped,critical
carnival ride collapsed,critical
bitten by a black widow,critical
brown recluse bite rotting flesh,critical
gila monster bite,critical
komodo dragon attack,critical
tiger escaped the zoo,critical
lion mauled the keeper,critical
gorilla broke the glass,critical
elephant stampede,critical
hippo flipped the boat,critical
crocodile dragged him under,critical
python wrapping around my neck,critical
cobra spit in my eyes,critical
rattlesnake bite to the face,critical
coral snake bite,critical
box jellyfish stung her,critical
blue ringed octopus bite,critical
stonefish stepped on it,critical
cone snail sting,critical
poison dart frog touched it,critical
cassowary attack,critical
ostrich kicked him in the head,critical
bull gored the matador,critical
horse kicked her in the chest,critical
trampled by a horse,critical
moose charged the car,critical
deer through the windshield,critical
elk attacked the hiker,critical
grizzly bear outside the tent,critical
polar bear breaking in,critical
wolf pack surrounding us,critical
coyote attacked the toddler,critical
dingo took the baby,critical
wild boar gored him,critical
hyena attack,critical
vampire bat bite rabies,critical
rabid raccoon chasing us,critical
skunk sprayed directly in eyes,critical
porcupine quills in the throat,critical
badger bit my hand off,critical
wolverine attack,critical
swarmed by killer bees,critical
africanized bees attacking,critical
murder hornets stinging,critical
fire ant swarm on the baby,critical
bullet ant sting passed out,critical
tarantula hawk wasp sting,critical
centipede bite severe reaction,critical
leeches covering my body,critical
maggots in the wound,critical
flesh eating parasite,critical
brain eating amoeba,critical
tapeworm choking me,critical
guinea worm erupting,critical
botfly larvae in my eye,critical
chiggers severe allergic reaction,critical
scabies extreme infection,critical
bedbug infestation anemia,critical
lice infestation severe,critical
flea bite bubonic plague,critical
rat bite fever,critical
hantavirus symptoms,critical
lyme disease meningitis,critical
rocky mountain spotted fever,critical
west nile virus encephalitis,critical
zika virus complication,critical
dengue shock syndrome,critical
yellow fever hemorrhaging,critical
chikungunya extreme joint pain,critical
bird flu suspected,critical
swine flu critical condition,critical
sars outbreak,critical
mers respiratory failure,critical
tuberculosis coughing blood,critical
pneumonia cant breathe,critical
bronchitis airways closing,critical
emphysema flare up,critical
copd exacerbation,critical
cystic fibrosis lung collapsed,critical
pulmonary embolism,critical
deep vein thrombosis clot moved,critical
heart failure fluid in lungs,critical
cardiogenic shock,critical
aortic dissection,critical
ruptured abdominal aortic aneurysm,critical
ventricular fibrillation,critical
asystole flatline,critical
pulseless electrical activity,critical
supraventricular tachycardia passing out,critical
bradycardia heart stopping,critical
heart block need pacemaker,critical
pericardial tamponade,critical
endocarditis valve blew,critical
myocarditis heart failing,critical
rheumatic fever heart damage,critical
kawasaki disease coronary aneurysm,critical


team standup starts in 5 minutes,important
please approve my timesheet,important
payroll processing ends today,important
your direct deposit failed,important
w2 tax form is now available,important
1099 form received,important
overdraft fee charged to your account,important
insufficient funds for transaction,important
credit limit increase approved,important
